,courier_id,gps_lng,gps_lat,ds,depot,order_id,gps_time
0,487,126.567,43.812,919,1,,
1,487,126.52357,43.80392,919,0,326416.0,09-19 13:35:00
2,487,126.52542,43.79894,919,0,2949605.0,09-19 13:48:00
3,487,126.55486,43.79019,919,0,1553343.0,09-19 09:57:00
4,487,126.55225,43.78774,919,0,3678977.0,09-19 10:16:00
5,487,126.53488,43.80506,919,0,4174964.0,09-19 13:07:00
6,487,126.53265,43.80498,919,0,1433806.0,09-19 13:15:00
7,487,126.5845,43.78178,919,0,3941066.0,09-19 11:03:00
8,487,126.59087,43.77463,919,0,4049376.0,09-19 11:32:00
9,487,126.52475,43.80097,919,0,124.0,09-19 18:53:00
