,0,1,2,3,4,5,6,7,8,9
0,0.0,4101.195316317967,7435.196333886994,2918.2487947958066,2449.466527314216,4057.0746690699248,3895.0031480460943,3296.5761898842184,3808.029958022354,45.46465877048959
1,4101.195316317967,0.0,4192.3895681523845,2587.762189877614,1661.7507231987004,139.5123724437886,297.76180389692075,894.5005708283079,1075.215157130506,4134.297568634103
2,7435.196333886994,4192.3895681523845,0.0,4624.973060885175,5450.470766843644,4325.2617672420065,4165.279950440172,4498.697855243944,3782.457219712878,7450.79248773728
3,2918.2487947958066,2587.762189877614,4624.973060885175,0.0,1979.2414392361754,2651.181369851501,2290.0077815752306,1790.1087725094567,1638.421745884359,2924.648903918399
4,2449.466527314216,1661.7507231987004,5450.470766843644,1979.2414392361754,0.0,1609.547067146961,1485.7825961677438,966.3612734729828,1671.1842283530993,2484.367441410621
5,4057.0746690699248,139.5123724437886,4325.2617672420065,2651.181369851501,1609.547067146961,0.0,378.9714169619552,914.0766453461705,1181.7388775839536,4091.1677807724327
6,3895.0031480460943,297.76180389692075,4165.279950440172,2290.0077815752306,1485.7825961677438,378.9714169619552,0.0,627.3773256606775,807.2539226702692,3926.39697216985
7,3296.5761898842184,894.5005708283079,4498.697855243944,1790.1087725094567,966.3612734729828,914.0766453461705,627.3773256606775,0.0,753.1277822951345,3326.232918239617
8,3808.029958022354,1075.215157130506,3782.457219712878,1638.421745884359,1671.1842283530993,1181.7388775839536,807.2539226702692,753.1277822951345,0.0,3831.9595606834932
9,45.46465877048959,4134.297568634103,7450.79248773728,2924.648903918399,2484.367441410621,4091.1677807724327,3926.39697216985,3326.232918239617,3831.9595606834932,0.0
