,courier_id,gps_time,gps_lng,gps_lat,ds,depot,order_id
0,435,08-10 07:53:00,126.566,43.871,810,1,
1,435,08-10 08:33:00,126.567,43.871,810,1,
2,435,08-10 09:49:00,126.549,43.873,810,1,
3,435,08-10 14:39:00,126.558,43.862,810,1,
4,435,08-10 09:38:00,126.55394,43.87418,810,0,432234.0
5,435,08-10 13:42:00,126.55581,43.87246,810,0,1782149.0
6,435,08-10 08:59:00,126.55378,43.87422,810,0,4019844.0
7,435,08-10 09:44:00,126.55164,43.87228,810,0,782029.0
8,435,08-10 10:16:00,126.55401,43.87143,810,0,2863326.0
9,435,08-10 10:07:00,126.55297,43.87142,810,0,3808579.0
10,435,08-10 10:21:00,126.55524,43.87072,810,0,341360.0
11,435,08-10 12:01:00,126.55918,43.86179,810,0,3670605.0
12,435,08-10 11:28:00,126.55982,43.85986,810,0,1480898.0
13,435,08-10 11:53:00,126.56248,43.86204,810,0,3359671.0
14,435,08-10 12:23:00,126.56178,43.86924,810,0,610094.0
15,435,08-10 09:58:00,126.55187,43.87185,810,0,2264153.0
16,435,08-10 13:33:00,126.5534,43.87304,810,0,894412.0
17,435,08-10 14:06:00,126.55507,43.86329,810,0,762933.0
18,435,08-10 15:05:00,126.56303,43.87134,810,0,3753585.0
19,435,08-10 14:44:00,126.5589,43.86111,810,0,1103410.0
