,courier_id,gps_time,gps_lng,gps_lat,ds,depot,order_id
0,949,07-27 08:19:00,126.566,43.871,727,1,
1,949,07-27 12:41:00,126.592,43.84,727,1,
2,949,07-27 14:02:00,126.58844,43.8609,727,0,1290871.0
3,949,07-27 14:16:00,126.59315,43.86213,727,0,2436282.0
4,949,07-27 14:27:00,126.59228,43.86302,727,0,28778.0
5,949,07-27 12:50:00,126.59339,43.84145,727,0,1669899.0
6,949,07-27 13:18:00,126.59411,43.84845,727,0,876157.0
7,949,07-27 13:26:00,126.59383,43.85035,727,0,109869.0
8,949,07-27 13:44:00,126.59201,43.85255,727,0,2099289.0
9,949,07-27 13:52:00,126.58868,43.85875,727,0,1907398.0
10,949,07-27 11:45:00,126.58632,43.84068,727,0,1505350.0
11,949,07-27 11:58:00,126.58944,43.83973,727,0,4017529.0
12,949,07-27 12:04:00,126.59025,43.84172,727,0,4316203.0
13,949,07-27 12:16:00,126.59153,43.84062,727,0,1897187.0
14,949,07-27 12:25:00,126.59204,43.84035,727,0,557573.0
15,949,07-27 12:33:00,126.59258,43.83959,727,0,2006742.0
16,949,07-27 13:08:00,126.59369,43.84456,727,0,1676256.0
17,949,07-27 10:30:00,126.5918,43.85093,727,0,4387458.0
18,949,07-27 13:33:00,126.59209,43.85244,727,0,1740179.0
19,949,07-27 15:17:00,126.56636,43.87061,727,0,4023861.0
20,949,07-27 10:04:00,126.58819,43.84517,727,0,268773.0
21,949,07-27 10:51:00,126.5911,43.84745,727,0,3112609.0
22,949,07-27 11:00:00,126.59157,43.84523,727,0,3847751.0
23,949,07-27 11:24:00,126.58865,43.84327,727,0,2663188.0
24,949,07-27 11:30:00,126.58726,43.8426,727,0,1033440.0
25,949,07-27 12:57:00,126.59595,43.84288,727,0,2695590.0
26,949,07-27 09:48:00,126.58612,43.84535,727,0,3003031.0
27,949,07-27 09:53:00,126.58556,43.84724,727,0,417021.0
28,949,07-27 10:13:00,126.58767,43.84596,727,0,1768261.0
29,949,07-27 10:24:00,126.58737,43.84925,727,0,1685535.0
30,949,07-27 12:42:00,126.59177,43.83952,727,0,2851318.0
