,courier_id,gps_lng,gps_lat,ds,depot,order_id,gps_time
0,75,126.567,43.812,818,1,,
1,75,126.54588,43.82571,818,0,3305889.0,08-18 16:22:00
2,75,126.54763,43.82866,818,0,2426504.0,08-18 16:27:00
3,75,126.5515,43.83085,818,0,4150976.0,08-18 15:13:00
4,75,126.55317,43.8314,818,0,1306159.0,08-18 15:20:00
5,75,126.54889,43.8243,818,0,2882764.0,08-18 15:48:00
6,75,126.54288,43.82415,818,0,2509464.0,08-18 16:11:00
7,75,126.54809,43.82929,818,0,209364.0,08-18 16:33:00
8,75,126.5484,43.82998,818,0,2794761.0,08-18 16:43:00
9,75,126.55385,43.82557,818,0,783809.0,08-18 14:33:00
10,75,126.55371,43.82493,818,0,933443.0,08-18 14:38:00
11,75,126.5549,43.82479,818,0,963075.0,08-18 14:44:00
12,75,126.55809,43.83292,818,0,4470817.0,08-18 16:57:00
13,75,126.55947,43.83305,818,0,3100395.0,08-18 17:10:00
14,75,126.56832,43.82961,818,0,3689405.0,08-18 12:36:00
15,75,126.56596,43.83115,818,0,1107955.0,08-18 12:51:00
16,75,126.55693,43.82294,818,0,1136272.0,08-18 13:20:00
17,75,126.57892,43.82529,818,0,1127052.0,08-18 11:23:00
18,75,126.57532,43.82462,818,0,153021.0,08-18 11:31:00
19,75,126.57641,43.82222,818,0,2580364.0,08-18 11:45:00
20,75,126.57049,43.82677,818,0,941631.0,08-18 11:59:00
21,75,126.56826,43.82535,818,0,1335426.0,08-18 12:12:00
22,75,126.56343,43.82007,818,0,2010516.0,08-18 09:48:00
23,75,126.56505,43.82399,818,0,3850613.0,08-18 10:02:00
24,75,126.56822,43.821,818,0,287632.0,08-18 10:12:00
25,75,126.57174,43.82132,818,0,4102882.0,08-18 10:30:00
26,75,126.57296,43.82048,818,0,345084.0,08-18 10:35:00
27,75,126.57361,43.82152,818,0,4396916.0,08-18 10:42:00
28,75,126.5754,43.82,818,0,671607.0,08-18 10:59:00
29,75,126.56563,43.81381,818,0,4003901.0,08-18 09:07:00
30,75,126.56862,43.81297,818,0,2310153.0,08-18 09:19:00
31,75,126.56885,43.81458,818,0,2508666.0,08-18 09:27:00
32,75,126.56418,43.81565,818,0,2733186.0,08-18 09:33:00
33,75,126.56652,43.81859,818,0,187777.0,08-18 10:21:00
34,75,126.5858,43.84053,818,0,4388644.0,08-18 18:07:00
