,courier_id,gps_lng,gps_lat,ds,depot,order_id,gps_time
0,1656,126.585,43.895,806,1,,
1,1656,126.56341,43.92724,806,0,2770635.0,08-06 11:20:00
2,1656,126.58354,43.91381,806,0,3027828.0,08-06 10:34:00
3,1656,126.57406,43.92125,806,0,3049390.0,08-06 10:50:00
4,1656,126.57362,43.93155,806,0,2868415.0,08-06 11:08:00
5,1656,126.54612,43.90719,806,0,576599.0,08-06 14:13:00
6,1656,126.55054,43.90237,806,0,278383.0,08-06 13:42:00
7,1656,126.54956,43.908,806,0,1506147.0,08-06 13:53:00
8,1656,126.55406,43.91829,806,0,3530440.0,08-06 14:38:00
9,1656,126.54564,43.9143,806,0,406459.0,08-06 15:01:00
10,1656,126.55308,43.91196,806,0,4399527.0,08-06 15:28:00
