,courier_id,gps_time,gps_lng,gps_lat,ds,depot,order_id
0,2665,08-20 08:48:00,126.544,43.85,820,1,
1,2665,08-20 08:49:00,126.545,43.85,820,1,
2,2665,08-20 13:21:00,126.539,43.847,820,1,
3,2665,08-20 09:37:00,126.53964,43.84809,820,0,4320796.0
4,2665,08-20 11:41:00,126.56483,43.84766,820,0,2900467.0
5,2665,08-20 09:55:00,126.55565,43.84799,820,0,4047080.0
6,2665,08-20 11:15:00,126.56566,43.85696,820,0,3958406.0
7,2665,08-20 12:19:00,126.54988,43.84742,820,0,1363652.0
8,2665,08-20 10:11:00,126.55491,43.85468,820,0,3135642.0
9,2665,08-20 11:48:00,126.55904,43.84728,820,0,4410845.0
10,2665,08-20 13:12:00,126.54131,43.84563,820,0,4173868.0
11,2665,08-20 09:17:00,126.54444,43.85032,820,0,4292777.0
12,2665,08-20 09:24:00,126.54494,43.8479,820,0,2848176.0
13,2665,08-20 11:55:00,126.55708,43.84684,820,0,2896241.0
14,2665,08-20 12:28:00,126.54873,43.8465,820,0,4125867.0
15,2665,08-20 11:06:00,126.56503,43.85715,820,0,1102573.0
16,2665,08-20 11:28:00,126.5658,43.8484,820,0,4031495.0
17,2665,08-20 11:33:00,126.56274,43.84558,820,0,1973420.0
18,2665,08-20 10:05:00,126.55648,43.8522,820,0,2048479.0
19,2665,08-20 10:30:00,126.56115,43.85041,820,0,3435609.0
20,2665,08-20 12:09:00,126.55229,43.84671,820,0,206031.0
21,2665,08-20 12:39:00,126.54824,43.84152,820,0,3116923.0
22,2665,08-20 13:04:00,126.54181,43.8437,820,0,797074.0
23,2665,08-20 09:48:00,126.54958,43.84989,820,0,2292001.0
24,2665,08-20 10:57:00,126.56485,43.85493,820,0,4071937.0
25,2665,08-20 12:45:00,126.54398,43.84461,820,0,909413.0
26,2665,08-20 10:40:00,126.56351,43.85271,820,0,4424813.0
27,2665,08-20 13:21:00,126.53888,43.84646,820,0,2685719.0
