,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
0,0.0,1872.4401462516742,2163.909724077065,2292.576011207303,1959.1974172719922,1646.7543514682027,1729.622283372264,1790.4992918103756,1878.092447365122,2333.8189413943296,2402.167613625199,2484.9587849048407,2481.7625024486047,2452.2407713563684,2462.5017458594734,2469.318957887719,1226.0428447812892,1321.4902508741357,1808.0496823035326,1912.8653560796108,1659.5709100372294,1254.8012075715296,1693.7902122071657,2003.6945009577437,1999.6698014368258,2060.524352981455,1604.2127717764627,1599.4090487016715,1599.2717215857595,1348.2319118423127,1084.8363086106447,1035.979752665046,1129.4453772057332,965.6674638713956,1219.8449590455527,1109.415776414882,1431.699063566881,1584.8740156476208,159.27075471018327,206.95161182131258,439.3393524285655,574.4033468079492,902.2640857970598,1205.2799233815283,3961.839735956848
1,1872.4401462516742,0.0,872.6363876009596,650.5289565633508,1099.0768126486091,263.53688245062716,517.2566914662747,373.98060487657847,88.21504330011534,461.41787676576485,547.6516965038395,622.9008868020032,611.0086669160946,718.6740223219144,735.8475041841646,739.0901194789116,707.5859913567658,1619.0971722152246,1686.3575680160081,1605.0183969513541,1244.4520262356577,1134.1488734986058,942.8714191223314,938.1197817425449,932.5079301492817,1084.5563380681406,656.933495339539,332.48327626041527,286.2276911000456,887.4792596702862,1717.3362844504843,1331.3066530515794,1572.1601779269245,1614.7297655359212,1353.128095260762,1415.0517820041055,1370.800427615381,1782.1802257917645,1738.9950338177543,1753.447553141748,1435.486560712615,1467.376919078802,1737.3631011397408,1457.1727285665359,3646.6488981185657
2,2163.909724077065,872.6363876009596,0.0,402.0566650819689,1969.8713062154845,813.2064557193019,506.0553965743253,559.2522477763197,784.7898949850565,940.0832075763232,1103.4006650204276,1113.684438329472,1044.1799956886134,1413.256296605997,1432.439243133518,1431.354517454174,1345.998999010296,2362.178077430696,2517.1417336942395,2454.3259097339132,2078.4242077268805,1876.0885223984035,1792.4094304539562,1810.652258248346,1805.0613707092016,1957.099451172918,1490.032795730469,1112.5606467367274,1020.3413263298839,1649.4039409963234,2391.974494599546,2005.1889157995988,2269.2146762004463,2262.077710889416,2084.186370055639,2112.5676713030225,2154.5057364339464,2567.7216672472964,2006.375783497319,2122.8109623786886,1752.3791603851441,1962.0098012868598,2357.808393016404,2180.704479448059,4518.536740599319
3,2292.576011207303,650.5289565633508,402.0566650819689,0.0,1722.9866326791666,718.9566421877483,567.7145203080652,508.79456286139566,576.4111363261279,562.5969721346321,723.2549172219378,722.4616807262297,649.7460997225132,1044.3502808112203,1063.22382997464,1061.0722355143243,1284.733447548631,2257.199334534178,2335.8555264637876,2249.5562056158897,1894.2217545846775,1768.0673889140294,1590.201341485377,1546.4339411749731,1541.326657044801,1690.7580892816986,1307.4395159890203,961.7994052551745,886.6871461197715,1524.8876580851556,2332.7431344628085,1942.0533087176238,2194.750423895244,2217.977022053362,1985.6365133486474,2036.2478771275737,2017.5264476779607,2430.37139371408,2141.6325165202784,2216.6007310036043,1859.2528830216472,1993.7700741677183,2330.362498027548,2088.083224384499,4230.482861395728
4,1959.1974172719922,1099.0768126486091,1969.8713062154845,1722.9866326791666,0.0,1201.4455221359744,1547.357166257521,1433.6911084804185,1186.0619027188727,1273.6604117018085,1189.660785748732,1265.1697335943584,1324.3094361867156,966.6549977427394,961.2353036367638,969.5500948527232,947.6569951042991,937.2092870499716,710.8421424223517,571.5833251458281,380.60279207212176,708.8911739439468,283.20639318899526,195.00471810852005,198.23410647220666,117.31106025007124,543.1239816257813,900.1552342646378,995.8128249981162,644.0852366854023,1179.3593249236712,958.7620580702855,1029.7623761283285,1174.6877797429206,817.3076621104811,939.2854684966294,657.6211510616918,935.3519126381404,1897.3099089361947,1764.8441745137718,1638.170559257919,1388.2496069288661,1313.407722812917,891.9566045523474,2561.4581746126405
5,1646.7543514682027,263.53688245062716,813.2064557193019,718.9566421877483,1201.4455221359744,0.0,346.40166921614394,254.10046363269666,237.5004937967855,704.8969670992342,807.1304413715027,878.4484738518017,858.4319311052478,976.9865289558047,993.5797874716351,997.3087378855596,566.4804429971273,1561.0104247690147,1705.645638608596,1649.7547773696024,1269.1624952063232,1071.5406267894123,993.6465025689774,1068.5049917025328,1062.559699792041,1211.1761445000827,687.332238298473,307.04988211645446,211.2244702094494,838.510743385027,1618.2604589932055,1227.3016412627255,1484.3445935142531,1500.3479012412217,1284.830107112412,1325.8830184915196,1342.9390578346838,1756.9325399777638,1506.9811167487228,1542.8892748955832,1207.4714547785652,1287.4335191032676,1611.4836247832736,1384.74893640051,3762.7131095383857
6,1729.622283372264,517.2566914662747,506.0553965743253,567.7145203080652,1547.357166257521,346.40166921614394,0.0,149.3597892106933,439.78281143110866,824.3116422393957,967.1857133399312,1016.5530914285497,971.8832256039225,1209.862105290847,1228.2490614509675,1230.1278100711818,841.7140496391283,1860.0534159078045,2039.8674053575658,1990.8806954506238,1607.4767837746404,1376.8162335694294,1338.3220602588958,1410.3690872177458,1404.465268229902,1554.247422612623,1031.7087185556184,652.5164513916294,556.1665397233802,1157.322470679685,1885.9275906422977,1499.2814235614476,1763.6154619714018,1756.4917425935766,1581.8549545637088,1607.2998686892497,1661.607532991447,2072.5729712473862,1577.008957863865,1663.713947571812,1300.3902009942815,1471.4165406383697,1853.9707790974496,1677.111805253997,4108.783851363173
7,1790.4992918103756,373.98060487657847,559.2522477763197,508.79456286139566,1433.6911084804185,254.10046363269666,149.3597892106933,0.0,293.0811033083254,682.6025100343745,821.4379691172273,873.8484580544704,832.6654520766206,1060.5023660816198,1078.890509216378,1080.7687457222617,805.036280599048,1811.4101831925884,1958.4818768374028,1899.1815652268951,1520.7447359859748,1322.832333982627,1239.7019633761454,1288.0401374584785,1282.2149528615314,1433.3182073769203,934.8959992281416,555.2650773860435,461.7474018530226,1092.0221043484169,1858.642873042151,1468.39831028406,1728.6781709194847,1735.9184240209481,1534.3570174657543,1570.640059094346,1596.7469135387544,2010.562223814424,1642.0446979219282,1708.923077949599,1354.5712261019162,1487.51930181187,1841.5218365469832,1633.107440427521,3993.656950172948
8,1878.092447365122,88.21504330011534,784.7898949850565,576.4111363261279,1186.0619027188727,237.5004937967855,439.78281143110866,293.0811033083254,0.0,467.50855309799886,575.914500140589,643.7504646329315,621.2546135944966,778.2743316172832,796.1218486727595,798.6913740386735,744.3945701473624,1683.731688892555,1765.4981297905888,1687.433721285173,1323.4916438540547,1196.1305157841257,1024.49762628287,1026.1631520960134,1020.5393209514482,1172.587990003057,733.7084633458658,388.8682363137618,324.9618315096949,951.0546658044616,1772.026629077223,1383.5741698083746,1629.4950656627077,1664.884797216519,1414.656224211799,1471.5905427701416,1441.1637343289829,1853.9719006649939,1740.5647162528196,1767.405763919388,1439.3154540834707,1494.7403547394495,1784.3535530187557,1518.0394114094697,3734.7929925144444
9,2333.8189413943296,461.41787676576485,940.0832075763232,562.5969721346321,1273.6604117018085,704.8969670992342,824.3116422393957,682.6025100343745,467.50855309799886,0.0,163.33350601471778,192.68915188214382,154.2716844576442,482.0186893343685,500.8084578509462,498.5316655868009,1152.104513438971,1974.5617239459186,1948.3520346557327,1834.7581384190455,1521.1517283492724,1510.675241197529,1211.0103591952075,1082.5695755757054,1078.3879142487333,1217.4860157305354,986.5345035815594,762.8303888543284,740.0249193277562,1265.9598812474603,2109.406025900066,1735.466601548911,1957.165792067056,2021.3013361225628,1726.3967329303657,1805.0148718586247,1702.897814968897,2097.139713927022,2200.206377172522,2212.735661774139,1896.8732787727326,1916.8828914942005,2151.095115127984,1831.0704197375223,3706.103829714144
