,courier_id,gps_lng,gps_lat,ds,depot,order_id,gps_time
0,949,126.566,43.871,715,1,,
1,949,126.59381,43.85782,715,0,1997498.0,07-15 12:07:00
2,949,126.58776,43.86294,715,0,3530300.0,07-15 12:52:00
3,949,126.59323,43.84154,715,0,2772994.0,07-15 11:05:00
4,949,126.59362,43.84454,715,0,1962840.0,07-15 11:19:00
5,949,126.59359,43.85875,715,0,1531297.0,07-15 12:19:00
6,949,126.58883,43.86146,715,0,2531064.0,07-15 12:24:00
7,949,126.59391,43.86203,715,0,1953650.0,07-15 12:36:00
8,949,126.59173,43.84065,715,0,878964.0,07-15 10:30:00
9,949,126.59027,43.83884,715,0,2514002.0,07-15 10:05:00
10,949,126.5946,43.84021,715,0,781925.0,07-15 10:50:00
11,949,126.59468,43.84014,715,0,1987870.0,07-15 10:57:00
12,949,126.59103,43.83794,715,0,1426717.0,07-15 10:41:00
13,949,126.59539,43.84748,715,0,2433676.0,07-15 11:31:00
14,949,126.59592,43.85117,715,0,4114581.0,07-15 11:44:00
