,courier_id,gps_lng,gps_lat,ds,depot,order_id,gps_time
0,290,126.585,43.895,927,1,,
1,290,126.55504,43.91098,927,0,3168590.0,09-27 10:54:00
2,290,126.55036,43.90399,927,0,1359338.0,09-27 11:17:00
3,290,126.56046,43.89507,927,0,480365.0,09-27 13:54:00
4,290,126.54578,43.91498,927,0,1492552.0,09-27 12:57:00
5,290,126.5539,43.91858,927,0,2655645.0,09-27 13:22:00
6,290,126.55648,43.91538,927,0,1388644.0,09-27 13:35:00
7,290,126.55798,43.90941,927,0,1263593.0,09-27 10:49:00
8,290,126.54446,43.90535,927,0,1161187.0,09-27 11:32:00
9,290,126.54599,43.90835,927,0,2822352.0,09-27 12:02:00
10,290,126.54631,43.91133,927,0,996449.0,09-27 12:19:00
11,290,126.5465,43.9132,927,0,694268.0,09-27 12:37:00
12,290,126.5559,43.91572,927,0,1837548.0,09-27 13:13:00
13,290,126.55063,43.90274,927,0,2111990.0,09-27 10:43:00
14,290,126.55179,43.90955,927,0,3256347.0,09-27 11:01:00
15,290,126.55031,43.90824,927,0,1914459.0,09-27 11:08:00
16,290,126.54885,43.91516,927,0,180587.0,09-27 13:03:00
17,290,126.55947,43.92076,927,0,3250844.0,09-27 13:27:00
18,290,126.54901,43.9069,927,0,726087.0,09-27 11:40:00
19,290,126.54952,43.9071,927,0,3273954.0,09-27 11:47:00
20,290,126.54863,43.908,927,0,1958725.0,09-27 11:56:00
21,290,126.55035,43.91201,927,0,1299063.0,09-27 12:26:00
22,290,126.54405,43.91412,927,0,3517231.0,09-27 12:51:00
