,courier_id,gps_lng,gps_lat,ds,depot,order_id,gps_time
0,1558,126.566,43.871,907,1,,
1,1558,126.57593,43.88329,907,0,3531641.0,09-07 10:13:00
2,1558,126.56714,43.88019,907,0,1082356.0,09-07 10:20:00
3,1558,126.56618,43.87073,907,0,1519007.0,09-07 17:27:00
4,1558,126.57605,43.8863,907,0,2118135.0,09-07 09:46:00
5,1558,126.57544,43.88677,907,0,196248.0,09-07 14:04:00
6,1558,126.57686,43.88451,907,0,338918.0,09-07 09:55:00
7,1558,126.53825,43.87226,907,0,2423678.0,09-07 11:15:00
8,1558,126.53904,43.87122,907,0,360082.0,09-07 11:31:00
9,1558,126.53905,43.87075,907,0,2774084.0,09-07 11:40:00
10,1558,126.54281,43.86928,907,0,1616566.0,09-07 11:57:00
11,1558,126.53831,43.8717,907,0,617768.0,09-07 11:24:00
12,1558,126.57472,43.88692,907,0,2748540.0,09-07 14:16:00
