,0,1,2,3,4,5,6,7,8,9,10,11
0,0.0,4383.471833284469,4847.894922655371,2490.988015233739,3626.267758399461,3427.038299230138,2906.121183902714,2755.9409163184055,2840.9764583596507,3823.9944816643124,4466.611879535811,4389.51798607568
1,4383.471833284469,0.0,2240.240331556319,5533.6213165211875,6251.287594444,5947.264950685415,4142.180088273449,3805.262858557887,3378.7600742740156,1218.1786191818355,298.64607100954055,44.97207166080678
2,4847.894922655371,2240.240331556319,0.0,4896.639958742472,5231.454817673827,4939.16812319846,3128.902616846629,2896.6030047270388,2490.323229485379,1378.9316683630423,1955.6180830656,2195.9067855833478
3,2490.988015233739,5533.6213165211875,4896.639958742472,0.0,1138.324613917044,974.7812215385561,1805.7571627867535,2000.2916127280287,2414.4212694816742,4512.129209447634,5481.240732198898,5519.5235107817125
4,3626.267758399461,6251.287594444,5231.454817673827,1138.324613917044,0.0,304.83199337711824,2158.8814608365496,2469.394816137242,2910.609519933363,5130.624949829212,6154.33576950783,6230.925174779295
5,3427.038299230138,5947.264950685415,4939.16812319846,974.7812215385561,304.83199337711824,0.0,1855.9443783197817,2164.789844175905,2606.1626904033187,4825.821461421043,5849.608408304208,5926.763016465925
6,2906.121183902714,4142.180088273449,3128.902616846629,1805.7571627867535,2158.8814608365496,1855.9443783197817,0.0,347.17613674473375,764.6417593562913,2986.8369131134777,4022.967486023935,4118.326298569058
7,2755.9409163184055,3805.262858557887,2896.6030047270388,2000.2916127280287,2469.394816137242,2164.789844175905,347.17613674473375,0.0,442.27838460088515,2662.475152734647,3692.7754907701637,3782.237144407265
8,2840.9764583596507,3378.7600742740156,2490.323229485379,2414.4212694816742,2910.609519933363,2606.1626904033187,764.6417593562913,442.27838460088515,0.0,2223.9702051318964,3258.44708113221,3354.505634362808
9,3823.9944816643124,1218.1786191818355,1378.9316683630423,4512.129209447634,5130.624949829212,4825.821461421043,2986.8369131134777,2662.475152734647,2223.9702051318964,0.0,1046.6767608483449,1185.1993373555536
10,4466.611879535811,298.64607100954055,1955.6180830656,5481.240732198898,6154.33576950783,5849.608408304208,4022.967486023935,3692.7754907701637,3258.44708113221,1046.6767608483449,0.0,254.0530537967881
11,4389.51798607568,44.97207166080678,2195.9067855833478,5519.5235107817125,6230.925174779295,5926.763016465925,4118.326298569058,3782.237144407265,3354.505634362808,1185.1993373555536,254.0530537967881,0.0
