,courier_id,gps_lng,gps_lat,ds,depot,order_id,gps_time
0,949,126.566,43.871,608,1,,
1,949,126.59191,43.86224,608,0,3619486.0,06-08 13:01:00
2,949,126.59367,43.86199,608,0,456399.0,06-08 13:11:00
3,949,126.58768,43.86395,608,0,3443989.0,06-08 13:32:00
4,949,126.58921,43.86262,608,0,1659208.0,06-08 12:54:00
5,949,126.59294,43.85576,608,0,3861943.0,06-08 12:24:00
6,949,126.59302,43.85365,608,0,102937.0,06-08 11:40:00
7,949,126.58847,43.85253,608,0,1669518.0,06-08 12:12:00
8,949,126.59603,43.84532,608,0,2863861.0,06-08 15:46:00
9,949,126.59249,43.84482,608,0,3043924.0,06-08 15:56:00
10,949,126.59084,43.84182,608,0,1183825.0,06-08 16:36:00
11,949,126.59116,43.83945,608,0,1606912.0,06-08 15:13:00
12,949,126.59135,43.84047,608,0,4337282.0,06-08 16:21:00
13,949,126.5924,43.84034,608,0,4073702.0,06-08 16:27:00
